plasmid_id,not_applicable,hidden_count,total_orfs,total_orfs_factor
100043,FALSE,0,1,1
100047,FALSE,0,1,1
100726,FALSE,0,1,1
102540,FALSE,0,1,1
100798,FALSE,1,2,2
100935,FALSE,0,1,1
100284,FALSE,0,1,1
100131,FALSE,0,1,1
104447,FALSE,0,1,1
100518,FALSE,0,1,1
100519,FALSE,0,1,1
100867,FALSE,0,1,1
104374,FALSE,0,1,1
102907,FALSE,0,1,1
100727,FALSE,0,1,1
102417,FALSE,0,1,1
105246,TRUE,0,NA,Not Applicable
100731,FALSE,0,1,1
102878,FALSE,0,1,1
100729,FALSE,0,1,1
100296,FALSE,0,1,1
100297,FALSE,0,1,1
100014,FALSE,0,1,1
102252,FALSE,0,1,1
100287,FALSE,0,1,1
105307,FALSE,0,1,1
102797,FALSE,0,1,1
101041,FALSE,0,1,1
104834,FALSE,0,1,1
103071,FALSE,0,1,1
105535,FALSE,0,1,1
101918,FALSE,0,1,1
105239,FALSE,0,1,1
100520,FALSE,0,1,1
100862,FALSE,0,1,1
100864,FALSE,0,1,1
100728,FALSE,0,1,1
101865,FALSE,0,1,1
102936,FALSE,0,1,1
105539,FALSE,0,1,1
101296,FALSE,0,1,1
105533,FALSE,0,1,1
100896,FALSE,0,1,1
101866,FALSE,0,1,1
101915,TRUE,0,NA,Not Applicable
101285,FALSE,0,1,1
101290,FALSE,0,1,1
104454,FALSE,0,1,1
101323,FALSE,0,1,1
101161,FALSE,0,1,1
101293,FALSE,0,1,1
101289,FALSE,0,1,1
105073,FALSE,0,1,1
102862,FALSE,0,1,1
101291,FALSE,0,1,1
102887,FALSE,0,1,1
102891,FALSE,0,1,1
103836,FALSE,0,1,1
104099,FALSE,0,1,1
100865,FALSE,0,1,1
103834,FALSE,0,1,1
100288,FALSE,0,1,1
104358,FALSE,0,1,1
104123,FALSE,0,1,1
102935,FALSE,0,1,1
105310,FALSE,0,1,1
102318,FALSE,0,1,1
105308,FALSE,0,1,1
102317,FALSE,0,1,1
101295,FALSE,0,1,1
102889,FALSE,0,1,1
104442,FALSE,0,1,1
100732,FALSE,0,1,1
101292,FALSE,0,1,1
100734,FALSE,0,1,1
104450,FALSE,0,1,1
105072,FALSE,0,1,1
101294,FALSE,0,1,1
100015,FALSE,0,1,1
101287,FALSE,0,1,1
105297,FALSE,0,1,1
100735,FALSE,0,1,1
101040,FALSE,0,1,1
102782,FALSE,0,1,1
105302,FALSE,0,1,1
104967,FALSE,0,1,1
101914,FALSE,0,1,1
100733,FALSE,0,1,1
105511,FALSE,0,1,1
102783,FALSE,0,1,1
105299,FALSE,0,1,1
105313,FALSE,0,1,1
101283,FALSE,0,1,1
103838,FALSE,0,1,1
104381,FALSE,1,2,2
101920,FALSE,1,2,2
105314,FALSE,0,1,1
100863,FALSE,0,1,1
102890,FALSE,0,1,1
102885,FALSE,0,1,1
104382,FALSE,0,1,1
105312,FALSE,0,1,1
105311,FALSE,0,1,1
105510,FALSE,0,1,1
102888,FALSE,0,1,1
102254,FALSE,0,1,1
102726,FALSE,0,1,1
101921,FALSE,1,2,2
104449,FALSE,0,1,1
104380,FALSE,0,1,1
102798,FALSE,0,1,1
104562,FALSE,0,1,1
105304,FALSE,0,1,1
105309,FALSE,0,1,1
102892,FALSE,0,1,1
104448,FALSE,0,1,1
105298,FALSE,0,1,1
100869,FALSE,0,1,1
104177,FALSE,0,1,1
104075,FALSE,0,1,1
105530,FALSE,0,1,1
105198,FALSE,0,1,1
104061,FALSE,0,1,1
102725,FALSE,0,1,1
105305,FALSE,0,1,1
105303,FALSE,0,1,1
105306,FALSE,0,1,1
102724,FALSE,0,1,1
105543,FALSE,0,1,1
105556,FALSE,0,1,1
105549,FALSE,0,1,1
105540,FALSE,0,1,1
105648,FALSE,0,1,1
105547,FALSE,0,1,1
105541,FALSE,0,1,1
105545,FALSE,1,2,2
105962,TRUE,0,NA,Not Applicable
105590,FALSE,0,1,1
105592,FALSE,0,1,1
105807,FALSE,0,1,1
105948,FALSE,0,1,1
105812,FALSE,0,1,1
105810,FALSE,0,1,1
105811,FALSE,0,1,1
105551,FALSE,1,2,2
107195,FALSE,1,2,2
105987,FALSE,0,1,1
105587,FALSE,0,1,1
105958,FALSE,0,1,1
105598,FALSE,0,1,1
105946,FALSE,0,1,1
107092,FALSE,0,1,1
105980,FALSE,0,1,1
106171,FALSE,0,1,1
